Company,TypeName,Ram,OpSys,Weight,Price,Touchscreen,IPS,PPI,CPU_Name,first,Layer1HDD,Layer2Flash Storage,Gpu_Brand
Lenovo,Gaming,8,Windows,2.5,53226.72,0,1,3686469.230769231,Intel Core i5,,0,0,Nvidia
Dell,Ultrabook,8,Windows,1.88,69157.44,0,0,3686469.230769231,Intel Core i7,,0,0,Intel
Dell,Gaming,16,Windows,2.65,79866.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,2.43,130482.72,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,8,Windows,2.7,58341.6,0,0,3686462.427745665,Intel Core i5,,0,0,Nvidia
Dell,Notebook,8,Windows,2.02,45554.4,0,0,3686469.230769231,Intel Core i7,,0,0,Intel
HP,Notebook,8,Windows,2.5,52054.56,0,0,3686462.427745665,Intel Core i5,,0,0,Nvidia
Dell,Gaming,16,Windows,2.65,71874.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,2.2,77202.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
HP,Gaming,12,Windows,2.62,66546.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,2.2,69210.72,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Ultrabook,16,Windows,1.5,67239.36,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Notebook,8,Windows,2.16,60223.98239999999,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,1.8,119427.12,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,8,Windows,3.0,49976.64,0,0,3686462.427745665,Intel Core i5,,0,0,Nvidia
MSI,Gaming,16,Windows,2.9,108105.12,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,2.8,100699.2,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,2.4,95850.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Gaming,8,Windows,2.56,56502.907199999994,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,32,Windows,4.4,149130.72,0,0,3686458.695652174,Intel Core i7,,0,0,Nvidia
HP,Gaming,16,Windows,3.35,73473.12,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Dell,Gaming,16,Windows,2.65,98301.6,0,1,14745738.461538462,Intel Core i7,,0,0,Nvidia
Lenovo,Gaming,16,Windows,3.2,93186.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Workstation,16,Windows,2.8,162770.4,0,0,14745738.461538462,Other Intel Processor,,0,0,Nvidia
Asus,Gaming,16,Windows,2.9,74964.95999999999,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Dell,Gaming,16,Windows,4.42,130873.7952,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Notebook,8,Windows,2.69,47472.48,0,0,3686462.427745665,Intel Core i5,,0,0,Nvidia
Lenovo,Gaming,16,Windows,3.2,79866.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,32,Windows,4.7,207259.2,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Notebook,8,Windows,2.1,61005.6,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Notebook,8,Other,2.69,47365.92,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,4.3,95850.72,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,4.14,133146.72,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,2 in 1 Convertible,8,Windows,1.1,79866.72,1,0,3686481.203007519,Intel Core i7,,0,0,Intel
Lenovo,Notebook,6,Windows,2.8,45767.52,0,0,2560052.023121387,Intel Core i7,,0,0,Nvidia
Lenovo,Gaming,16,Windows,2.5,62817.119999999995,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,2.9,113060.16,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Gaming,8,Windows,2.5,67399.2,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Lenovo,Notebook,8,Windows,2.3,43636.32,0,0,3686469.230769231,Intel Core i5,,0,0,Nvidia
